Otu	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-1	TC-2	TC-3
Otu000409	52	35	41	29	48	45	48	49	65	30	40	80
Otu000410	14	4	20	158	9	198	3	2	11	61	68	13
Otu000411	7	45	2	40	59	53	67	68	67	55	16	81
Otu000412	48	86	107	34	45	18	32	46	46	39	19	40
Otu000413	3	14	1	162	90	51	9	25	2	104	58	38
Otu000414	16	11	8	46	43	43	69	65	74	77	49	55
Otu000415	90	130	72	14	37	22	42	52	43	19	13	21
Otu000416	2	3	7	60	43	136	10	7	5	18	162	102
Otu000417	6	5	6	107	49	78	8	6	16	109	73	86
Otu000418	31	141	18	24	40	38	23	71	52	26	19	65
Otu000419	77	73	78	47	68	42	35	24	32	16	21	34
Otu000420	15	33	51	25	41	65	36	20	61	66	65	65
Otu000421	83	66	71	36	44	33	42	44	49	25	22	25
Otu000422	35	36	23	21	34	20	99	69	81	37	42	42
Otu000423	122	211	35	35	23	42	7	31	7	13	2	9
Otu000424	34	76	45	39	33	23	43	87	35	41	33	48
Otu000425	14	10	9	65	112	81	29	21	41	68	68	18
Otu000426	17	20	16	47	81	60	27	55	41	64	69	36
Otu000427	15	25	19	17	40	30	63	80	48	49	55	91
Otu000428	53	79	95	33	49	27	38	31	60	20	20	26
Otu000429	35	27	16	34	75	23	63	58	66	30	58	46
Otu000430	68	55	23	26	72	28	29	115	38	54	12	11
Otu000431	47	37	38	26	41	23	49	61	35	43	58	72
Otu000432	13	23	0	18	11	15	65	110	68	37	45	125
Otu000433	32	66	61	26	60	25	29	31	68	37	56	38
Otu000434	20	5	3	125	81	173	6	2	6	52	43	13
Otu000435	67	87	56	38	39	49	22	47	27	22	36	35
Otu000436	48	74	82	18	35	36	48	43	56	19	32	34
Otu000437	6	28	4	44	45	41	60	60	82	45	25	85
Otu000438	53	44	22	18	29	20	39	97	55	50	50	46
Otu000439	11	19	9	68	71	55	48	56	45	61	42	36
Otu000440	63	64	79	25	30	28	31	63	39	22	38	37
Otu000441	21	17	19	48	172	82	9	1	20	93	23	12
Otu000442	89	50	49	28	18	32	56	47	62	11	27	44
Otu000443	100	84	48	33	33	40	32	32	39	24	21	26
Otu000444	55	59	60	33	40	25	52	47	53	33	21	32
