	sequences per sample	iteration	CK-1	CK-2	CK-3	TA-1	TA-2	TA-3	TB-1	TB-2	TB-3	TC-3	TC-2	TC-1
alpha_rarefaction_40010_8.txt	40010	8	5919.60425532	6470.16033755	5093.00162338	5260.47079646	5538.94076655	5417.21884984	5585.56230032	5844.84210526	5886.92990654	5158.80310881	4451.67515924	5029.39884393
alpha_rarefaction_40010_9.txt	40010	9	5844.53988604	6186.83001328	5089.04501608	5214.17414722	5502.02581756	5397.6109215	5862.63054187	5643.74883721	5632.06153846	5354.77757685	4357.1875	4795.208981
alpha_rarefaction_45010_0.txt	45010	0	6161.24137931	6501.65449804	5368.10248447	5465.38983051	5585.72895623	5739.08681135	5808.0	5852.44954128	5847.47254335	5267.50909091	4552.78557114	5165.29038462
alpha_rarefaction_45010_1.txt	45010	1	6112.65778401	6509.5006402	5460.17007874	5352.30278232	5580.0	5570.19611021	5845.06534954	6080.8438949	6135.22005988	5413.63855422	4512.56931608	5072.85352622
alpha_rarefaction_45010_2.txt	45010	2	6045.46906475	6526.00384123	5324.10049423	5524.10193322	5568.36486486	5869.2972973	5742.48826291	5787.02373887	6023.65667166	5423.10684474	4393.31337325	5071.23985891
alpha_rarefaction_45010_3.txt	45010	3	6016.16828929	6499.74614306	5420.11483254	5470.90052356	5533.08237232	5492.00161031	6089.44894652	5959.9823435	5940.48191027	5423.84380306	4606.28834356	5215.77372263
alpha_rarefaction_45010_4.txt	45010	4	6185.25	6553.39374185	5200.18965517	5414.60176991	5940.9	5743.36717428	5894.20673813	5901.81612903	5905.5119403	5440.76156584	4583.63729508	5092.94483986
alpha_rarefaction_45010_5.txt	45010	5	5879.70588235	6724.45365169	5296.87563025	5436.1445993	5568.93376414	5511.44075829	5907.14741641	5888.84313725	6028.11700468	5382.53476821	4682.3647541	5015.3943662
alpha_rarefaction_45010_6.txt	45010	6	6081.74641834	6575.82275132	5226.68611987	5566.07979626	5526.46067416	5436.74730354	5667.22303207	5703.12139605	5967.69369369	5402.10837438	4381.40796964	5185.20035149
alpha_rarefaction_45010_7.txt	45010	7	6035.54674221	6524.97622028	5325.32061069	5414.82352941	5623.6391231	5684.51751592	6015.48648649	5820.00444444	5825.12107623	5177.62269939	4330.20637899	4951.19425676
alpha_rarefaction_45010_8.txt	45010	8	5980.03106509	6552.53271028	5268.40723982	5289.64418212	5707.15652174	5740.46655518	5873.0988024	5839.97007874	5799.75431034	5250.55382215	4597.942	4907.97989031
alpha_rarefaction_45010_9.txt	45010	9	5850.89787798	6641.32176235	5199.58167939	5458.86868687	5805.57043478	5561.39102564	5877.165625	5933.41491086	6003.91428571	5245.95552147	4460.53024194	4974.34774775
alpha_rarefaction_50010_0.txt	50010	0	6163.80649718	6731.45660377	5364.98746082	5559.15	6019.25	5656.64253394	5800.18810512	6019.15805471	6086.87737226	5631.48275862	4560.40697674	5240.94207836
alpha_rarefaction_50010_1.txt	50010	1	6313.47547684	6664.06658596	5326.78855326	5435.80674847	5823.23271501	5577.890625	6079.45083207	6184.26858877	6359.28614458	5642.92294521	4892.5661157	5206.43664384
alpha_rarefaction_50010_2.txt	50010	2	6166.96270718	6635.6080207	5482.3672496	5612.20486111	5704.43809524	5598.11377246	5976.63622754	5973.70597015	6070.72439759	5364.90151515	4685.20547945	5194.40526316
alpha_rarefaction_50010_3.txt	50010	3	6219.53701016	6643.83668342	5408.00477707	5457.56077796	5745.67171717	5666.22169811	6047.63308271	5968.7	6214.97205882	5406.34046053	4781.7311609	5242.41595925
alpha_rarefaction_50010_4.txt	50010	4	6245.6937931	6605.03473945	5308.31958763	5605.09121061	5640.61455108	5778.24363057	6141.8490566	6163.23538462	5911.77166437	5766.45901639	4911.57287449	5260.28983051
alpha_rarefaction_50010_5.txt	50010	5	5979.18579235	6614.64728682	5426.0	5579.22852234	5682.19512195	5779.89814815	6086.65625	6042.78666667	6128.13850837	5505.00980392	4677.22460938	5384.65719361
alpha_rarefaction_50010_6.txt	50010	6	6052.35285914	6669.19444444	5404.14528594	5681.26929674	5667.24261275	5747.60904685	5955.51263001	5864.84187408	5893.85714286	5236.02272727	4675.00814664	5430.40384615
alpha_rarefaction_50010_7.txt	50010	7	6248.28	6985.31174089	5174.14325843	5660.67171717	5684.9859375	5726.71107784	6048.37481481	6362.2605753	6243.8438949	5686.08306189	4704.625	5059.26633166
alpha_rarefaction_50010_8.txt	50010	8	6051.23498695	6725.0	5346.37557252	5790.74363328	5942.63247863	5715.38390093	6415.43842365	6188.68322981	6123.46296296	5570.00154799	4630.6108871	5141.77090301
alpha_rarefaction_50010_9.txt	50010	9	6123.55540356	6509.53836634	5484.16055046	5546.04326123	5822.825	5771.86277603	5950.53001464	5898.46727549	6333.01490313	5620.41666667	4658.99223301	5266.171875
alpha_rarefaction_55010_0.txt	55010	0	6131.04897959	6779.1898263	5456.16543575	5584.75862069	5894.978125	5719.02248876	6107.11661808	5962.94883041	6350.89787234	5806.16745656	4947.24291498	5133.58908507
alpha_rarefaction_55010_1.txt	55010	1	6330.62983425	6785.00365408	5397.83783784	5737.05015674	5865.27804878	6146.17803661	6207.73394495	6143.07488987	6134.86720867	5533.59705882	4705.07948244	5419.59197324
alpha_rarefaction_55010_2.txt	55010	2	6400.80504909	6638.61820331	5515.00160256	5504.13043478	6118.7972973	5808.54307692	6080.57754801	6077.82231405	6167.6849711	5456.31578947	4874.23425197	5432.16809605
alpha_rarefaction_55010_3.txt	55010	3	6195.03743316	6718.31004902	5373.2602118	5648.9015873	6085.1663837	5846.06033183	6147.7	6297.27205882	6200.03366059	5792.28409091	4844.78723404	5170.2048
alpha_rarefaction_55010_4.txt	55010	4	6202.18630137	6773.79847909	5426.73913043	5760.03409091	5773.12439418	5689.23308271	6163.16302766	6251.65789474	6280.53744493	5637.75154321	4814.73333333	5511.28571429
alpha_rarefaction_55010_5.txt	55010	5	6348.24684432	6802.60465116	5609.19709208	5806.25370675	5882.44427245	5847.477306	6046.31355932	6307.62886598	6405.69777778	5505.54307692	4853.11976048	5329.32758621
alpha_rarefaction_55010_6.txt	55010	6	6186.04945055	6802.05535055	5372.25316456	5720.48076923	5952.71606864	5805.92307692	6260.06165414	6213.06976744	6142.73955432	5514.53643411	4795.22326454	5341.17355372
alpha_rarefaction_55010_7.txt	55010	7	6148.20619946	6810.18102372	5357.22205438	6028.68439108	5728.21396055	5849.35258359	6186.90446841	6251.51492537	6420.19815668	5862.09359606	4859.41119691	5412.56185567
alpha_rarefaction_55010_8.txt	55010	8	6288.75862069	6783.0815822	5505.97826087	5585.08074534	5890.46976744	6029.90369181	6316.11826347	6129.0	6349.16787265	5583.55399061	4687.71875	5491.90322581
alpha_rarefaction_55010_9.txt	55010	9	6094.6227154	6888.44968153	5350.07947977	5827.82258065	6029.96116505	5982.63751987	6089.14117647	6131.06069364	6538.05	5665.14918759	4626.21072089	5263.04361874
alpha_rarefaction_60010_0.txt	60010	0	6288.12231183	7182.85620053	5433.58011869	5923.41935484	5921.80084746	5987.31515152	6384.23165468	6431.1133429	6398.58149171	5639.80655226	4841.21390374	5401.78877888
alpha_rarefaction_60010_1.txt	60010	1	6449.46675532	6949.54037267	5399.62068966	5745.64006024	5950.1198786	6139.79573171	6258.98321678	6395.19587629	6418.32857143	5834.01572327	4849.90282686	5598.43247863
alpha_rarefaction_60010_2.txt	60010	2	6299.69382392	6914.16425121	5426.29359165	5916.62794349	5956.21524664	5975.24964337	6168.67048711	6506.44108761	6287.0	5675.4	5014.82725528	5555.55704698
alpha_rarefaction_60010_3.txt	60010	3	6506.42622951	6804.66828087	5496.03988604	5861.8048	5895.00578035	6146.36650869	6267.32635983	6327.51641791	6279.26792963	5776.03554869	4768.85791367	5470.4760274
alpha_rarefaction_60010_4.txt	60010	4	6325.36363636	6902.421875	5513.6398243	5779.47900467	5909.07566766	6020.06042296	6168.48285322	6256.45557123	6518.59830269	5719.60986547	4713.87323944	5445.19063545
